Time,Company,Price,Volume,Market Cap
2024-04-19 10:01:21,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 10:01:21,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 10:01:21,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 10:01:34,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 10:01:34,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 10:01:34,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 10:01:34,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 10:01:34,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 10:01:34,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 10:01:48,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 10:01:48,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 10:01:48,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 10:01:48,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 10:01:48,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 10:01:48,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 10:02:02,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 10:02:02,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 10:02:02,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 10:02:02,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 10:02:02,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 10:02:02,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 10:02:16,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 10:02:16,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 10:02:16,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 10:02:16,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 10:02:16,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 10:02:16,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 10:02:30,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 10:02:30,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 10:02:30,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 10:02:30,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 10:02:30,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 10:02:30,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 10:02:44,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 10:02:44,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 10:02:44,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
2024-04-19 10:02:44,Ralph Lauren Corp Class A (RL),157.35,63925556.0,10180144793.0
2024-04-19 10:02:44,Alphabet Inc Class A (GOOGL),155.97,12433000000.0,1932958510000.0
2024-04-19 10:02:44,NVIDIA Corporation (NVDA),846.71,2461200000.0,2068269420000.0
2024-04-19 10:02:58,Microsoft Corporation (MSFT),404.33,7430436229.0,3060150856551.36
2024-04-19 10:02:58,Apple Inc (AAPL),167.04,15441881000.0,2594236008000.0
2024-04-19 10:02:58,Netflix Inc (NFLX),611.15,430901161.0,264439733494.09003
